timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Filename,Latency,Hostname
27/07/2017 16:46,527,33 /escm/login/auth,200,OK,Thread Group 1-1,text,true,,5226,1,1,http://10.10.3.16:8080/escm/login/auth,,524,ESCM-APP
27/07/2017 16:46,14,43 /escm/images/favicon.ico,200,OK,Thread Group 1-1,bin,true,,191359,1,1,http://10.10.3.16:8080/escm/images/favicon.ico,,12,ESCM-APP
27/07/2017 16:46,878,Hit_the_portal,,"Number of samples in transaction : 16, number of failing samples : 1",Thread Group 1-1,,false,,692050,1,1,null,,736,ESCM-APP
27/07/2017 16:46,1788,65 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,,9479,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,599,ESCM-APP
27/07/2017 16:46,6,99 /escm/images/favicon.ico,304,Not Modified,Thread Group 1-1,,true,,125,1,1,http://10.10.3.16:8080/escm/images/favicon.ico,,0,ESCM-APP
27/07/2017 16:46,2551,sp_userlogin_46,200,"Number of samples in transaction : 43, number of failing samples : 0",Thread Group 1-1,,true,,459949,1,1,null,,1114,ESCM-APP
27/07/2017 16:46,1591,1 /escm/order/index,200,OK,Thread Group 1-1,text,true,,19242,1,1,http://10.10.3.16:8080/escm/order/list,,17,ESCM-APP
27/07/2017 16:46,115,12 /escm/order/showOrderDetail,404,Not Found,Thread Group 1-1,text,false,,1277,1,1,http://10.10.3.16:8080/escm/order/showOrderDetail,,115,ESCM-APP
27/07/2017 16:46,24,22 /escm/messages,200,OK,Thread Group 1-1,text,true,,461,1,1,http://10.10.3.16:8080/escm/messages,,23,ESCM-APP
27/07/2017 16:46,18,23 /escm/recentItem,200,OK,Thread Group 1-1,text,true,,341,1,1,http://10.10.3.16:8080/escm/recentItem,,17,ESCM-APP
27/07/2017 16:46,2004,List_Orders,,"Number of samples in transaction : 29, number of failing samples : 1",Thread Group 1-1,,false,,149253,1,1,null,,424,ESCM-APP
27/07/2017 16:46,632,4 /escm/order/searchOrder,200,OK,Thread Group 1-1,text,true,,3737,1,1,http://10.10.3.16:8080/escm/order/searchOrder,,630,ESCM-APP
27/07/2017 16:46,15,6 /escm/messages,200,OK,Thread Group 1-1,text,true,,461,1,1,http://10.10.3.16:8080/escm/messages,,15,ESCM-APP
27/07/2017 16:46,12,7 /escm/recentItem,200,OK,Thread Group 1-1,text,true,,341,1,1,http://10.10.3.16:8080/escm/recentItem,,12,ESCM-APP
27/07/2017 16:46,2048,5 /escm/order/showOrderDetail,200,OK,Thread Group 1-1,text,true,,23419,1,1,http://10.10.3.16:8080/escm/order/showOrderDetail,,2040,ESCM-APP
27/07/2017 16:46,24,10 /escm/messages,200,OK,Thread Group 1-1,text,true,,461,1,1,http://10.10.3.16:8080/escm/messages,,23,ESCM-APP
27/07/2017 16:46,16,13 /escm/recentItem,200,OK,Thread Group 1-1,text,true,,341,1,1,http://10.10.3.16:8080/escm/recentItem,,16,ESCM-APP
27/07/2017 16:46,2824,order_search_by_id,200,"Number of samples in transaction : 15, number of failing samples : 0",Thread Group 1-1,,true,,75015,1,1,null,,2808,ESCM-APP
